Titulo;Link
📺 Rolou zoeira! Jogador da Arábia Saudita provoca Messi após golaço;;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"">📺 Rolou zoeira! Jogador da Arábia Saudita provoca Messi após golaço</a>"
Web é invadida por memes após gols da Arábia Saudita;;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"" href=""https://ge.globo.com/futebol/copa-do-mundo/noticia/2022/11/22/brasileiros-enchem-web-de-memes-apos-gol-da-arabia-saudita.ghtml"">Web é invadida por memes após gols da Arábia Saudita</a>"
"📺 Brasileiro se infiltra na fan fest de Buenos Aires e comemora derrota argentina; assista";;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"" href=""https://ge.globo.com/futebol/copa-do-mundo/video/brasileiro-se-infiltra-na-fan-fest-de-buenos-aires-e-comemora-derrota-argentina-11145806.ghtml"">📺 Brasileiro se infiltra na fan fest de Buenos Aires e comemora derrota argentina; assista</a>"
"Jornais argentinos lamentam derrota para a Arábia Saudita: ""Golpe mundial""";;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"" href=""https://ge.globo.com/futebol/copa-do-mundo/noticia/2022/11/22/jornais-argentinos-lamentam-derrota-para-a-arabia-saudita-um-golpe.ghtml"">Jornais argentinos lamentam derrota para a Arábia Saudita: ""Golpe mundial""</a>"
Algoz da Argentina fez gol no Flamengo, é fã de Neymar e foi treinado por Jorge Jesus;Salem Al-Dawsari fez o segundo gol da Arábia Saudita sobre a Argentina, na estreia das seleções ;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"" href=""https://ge.globo.com/futebol/selecoes/arabia-saudita/noticia/2022/11/22/algoz-da-argentina-fez-gol-no-flamengo-e-fa-de-neymar-e-foi-treinado-por-jorge-jesus.ghtml"">Algoz da Argentina fez gol no Flamengo, é fã de Neymar e foi treinado por Jorge Jesus</a>"
Tite faz mistério, fecha treino e esconde escalação para estreia;;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"" href=""https://ge.globo.com/futebol/selecao-brasileira/noticia/2022/11/22/tite-faz-misterio-fecha-treino-e-esconde-escalacao-da-selecao-para-estreia-na-copa-do-mundo.ghtml"">Tite faz mistério, fecha treino e esconde escalação para estreia</a>"
"Bandeira de Pernambuco é confundida com LGBTQIAP+ e gera abordagem no Catar; vídeo";Jornalista relata que precisou apagar imagens para ter celular devolvido, mas outras pessoas filmaram ação;"<a class=""feed-post-link gui-color-primary gui-color-hover"" elementtiming=""text-ssr"" href=""https://ge.globo.com/futebol/copa-do-mundo/noticia/2022/11/22/jornalista-e-abordado-no-catar-ao-confundirem-bandeira-de-pernambuco-com-a-da-causa-lgbtqiap-video.ghtml"">Bandeira de Pernambuco é confundida com LGBTQIAP+ e gera abordagem no Catar; vídeo</a>"
Erasmo Carlos volta a ser internado e está intubado;Cantor e compositor passou duas semanas hospitalizado recentemente e teve alta no início de novembro.;https://g1.globo.com/rj/rio-de-janeiro/noticia/2022/11/22/erasmo-carlos.ghtml
Dinamarca e Tunísia protagonizam primeiro zero a zero da Copa;;https://ge.globo.com/futebol/copa-do-mundo/jogo/22-11-2022/dinamarca-tunisia.ghtml
"Deu zebra: Arábia Saudita vira e vence a Argentina; veja os gols";;https://g1.globo.com/bom-dia-brasil/playlist/bom-dia-brasil-ultimos-videos.ghtml#video-11145782-id
No Catar, bandeira de Pernambuco é confundida com apoio a LGBTQIA+;Brasileiro denunciou que teve a bandeira confiscada e pisoteada.;https://g1.globo.com/pe/pernambuco/noticia/2022/11/22/autoridades-do-catar-tomam-bandeira-de-pernambuco-de-brasileiros-apos-jogo-da-copa-do-mundo.ghtml
Ala econômica de Lula aceita incluir nova 'âncora' fiscal em PEC;;https://g1.globo.com/politica/blog/valdo-cruz/post/2022/11/22/transicao-ala-economica-de-lula-aceita-incluir-em-pec-mecanismo-que-garanta-nova-ancora-fiscal.ghtml
Polícia usa máquinas para retirar barricadas e liberar rodovia em MT;;https://g1.globo.com/mt/mato-grosso/noticia/2022/11/22/forcas-de-seguranca-realizam-operacao-na-br-163.ghtml
Isolado, procurador que espancou a chefe tem novo momento de fúria;"Demétrius agora quebrou a pia; ele já havia destruído a porta de outra cela.";https://g1.globo.com/sp/santos-regiao/noticia/2022/11/22/procurador-que-espancou-a-chefe-tem-novo-momento-de-furia-e-quebra-a-pia-da-cela-de-isolamento.ghtml
Veja 5 carros usados que são baratos em outros países e caros no Brasil;;https://autoesporte.globo.com/carros/usados-e-seminovos/noticia/2022/11/5-carros-usados-que-sao-baratos-em-outros-paises-e-caros-no-brasil.ghtml
